Date,USD,CAD
10/1/2020,1,1.352
10/2/2020,1,1.353
10/3/2020,1,1.353
10/4/2020,1,1.353
10/5/2020,1,1.353
10/6/2020,1,1.353
10/7/2020,1,1.353
10/8/2020,1,1.354
10/9/2020,1,1.354
10/10/2020,1,1.354
10/11/2020,1,1.354
10/12/2020,1,1.354
10/13/2020,1,1.354
10/14/2020,1,1.354
10/15/2020,1,1.355
10/16/2020,1,1.355
10/17/2020,1,1.355
10/18/2020,1,1.355
10/19/2020,1,1.355
10/20/2020,1,1.355
10/21/2020,1,1.356
10/22/2020,1,1.356
10/23/2020,1,1.356
10/24/2020,1,1.356
10/25/2020,1,1.356
10/26/2020,1,1.356
10/27/2020,1,1.357
10/28/2020,1,1.357
10/29/2020,1,1.357
10/30/2020,1,1.357
10/31/2020,1,1.357
11/1/2020,1,1.357
11/2/2020,1,1.357
11/3/2020,1,1.358
11/4/2020,1,1.358
11/5/2020,1,1.358
11/6/2020,1,1.358
11/7/2020,1,1.358
11/8/2020,1,1.358
11/9/2020,1,1.359
11/10/2020,1,1.359
11/11/2020,1,1.359
11/12/2020,1,1.359
11/13/2020,1,1.359
11/14/2020,1,1.359
11/15/2020,1,1.359
11/16/2020,1,1.360
11/17/2020,1,1.360
11/18/2020,1,1.360
11/19/2020,1,1.360
11/20/2020,1,1.360
11/21/2020,1,1.360
11/22/2020,1,1.361
11/23/2020,1,1.361
11/24/2020,1,1.361
11/25/2020,1,1.361
11/26/2020,1,1.361
11/27/2020,1,1.361
11/28/2020,1,1.362
11/29/2020,1,1.362
11/30/2020,1,1.362
12/1/2020,1,1.362
12/2/2020,1,1.362
12/3/2020,1,1.362
12/4/2020,1,1.362
12/5/2020,1,1.363
12/6/2020,1,1.363
12/7/2020,1,1.363
12/8/2020,1,1.363
12/9/2020,1,1.363
12/10/2020,1,1.363
12/11/2020,1,1.364
12/12/2020,1,1.364
12/13/2020,1,1.364
12/14/2020,1,1.364
12/15/2020,1,1.364
12/16/2020,1,1.364
12/17/2020,1,1.365
12/18/2020,1,1.365
12/19/2020,1,1.365
12/20/2020,1,1.365
12/21/2020,1,1.365
12/22/2020,1,1.365
12/23/2020,1,1.365
12/24/2020,1,1.366
12/25/2020,1,1.366
12/26/2020,1,1.366
12/27/2020,1,1.366
12/28/2020,1,1.366
12/29/2020,1,1.366
12/30/2020,1,1.367
12/31/2020,1,1.367
1/1/2021,1,1.297
1/2/2021,1,1.298
1/3/2021,1,1.299
1/4/2021,1,1.298
1/5/2021,1,1.299
1/6/2021,1,1.297
1/7/2021,1,1.299
1/8/2021,1,1.304
1/9/2021,1,1.302
1/10/2021,1,1.302
1/11/2021,1,1.303
1/12/2021,1,1.303
1/13/2021,1,1.304
1/14/2021,1,1.305
1/15/2021,1,1.305
1/16/2021,1,1.306
1/17/2021,1,1.306
1/18/2021,1,1.307
1/19/2021,1,1.308
1/20/2021,1,1.308
1/21/2021,1,1.309
1/22/2021,1,1.310
1/23/2021,1,1.310
1/24/2021,1,1.311
1/25/2021,1,1.311
1/26/2021,1,1.312
1/27/2021,1,1.313
1/28/2021,1,1.313
1/29/2021,1,1.314
1/30/2021,1,1.314
1/31/2021,1,1.315
